Price_CLP,Price_UF,Price_USD,Comuna,Ubicacion,Dorms,Baths,Built Area,Total Area,Parking,id,Provincia,Región,Latitud (Decimal),Longitud (decimal),Latitud (Sexagesimal),Longitud (Sexagesimal),rango_baths,rango_dormitorios
98500000,2768,122665,laflorida,Enventa....!casaconexcelenteubicación,3,1,55.0,135.0,1.0,10211916,Santiago,Metropolitana de Santiago,-33.525,-70.5378,"-33°31' 30""", -70°32' 16'' ,1-5,1-5
505378000,14200,629362,lareina,JoséOrtegayGasset,4,2,200.0,580.0,4.0,11487434,Santiago,Metropolitana de Santiago,-33.4428,-70.5319, -33°26' 34'' , -70°31' 55'' ,1-5,1-5
138445100,3890,172410,maipu,LaSalle1544,3,3,70.0,121.0,2.0,11115132,Santiago,Metropolitana de Santiago,-33.5167,-70.7667,"-33°31' 0""","-70°46' 0""",1-5,1-5
75000000,2107,93400,puentealto,Excelenteoportunidadventa!!acuadrasdemetrolasmercedeslinea4,2,1,60.0,74.0,2.0,11118574,Cordillera,Metropolitana de Santiago,-33.6158,-70.57, -33°36' 57'' ,"-70°34' 12""",1-5,1-5
569440000,16000,709141,colina,LoArcaya,4,4,5000.0,247.0,7.0,6414550,Chacabuco,Metropolitana de Santiago,-33.1939,-70.6678, -33°11' 38'' , -70°40' 4'' ,1-5,1-5
498260000,14000,620498,nunoa,EduardoCastilloVelasco,5,4,250.0,504.0,5.0,11091882,Santiago,Metropolitana de Santiago,-33.4539,-70.6039, -33°27' 14'' , -70°36' 14'' ,1-5,1-5
88000000,2473,109589,maipu,villaelllano,3,1,62.0,103.0,2.0,11058221,Santiago,Metropolitana de Santiago,-33.5167,-70.7667,"-33°31' 0""","-70°46' 0""",1-5,1-5
622825000,17500,775623,lobarnechea,Elarrayán,3,3,450.0,680.0,3.0,11096252,Santiago,Metropolitana de Santiago,-33.35,-70.5167,"-33°21' 0""","-70°31' 0""",1-5,1-5
218878500,6150,272576,maipu,Encantadoracasadedospisosenmaipú.,4,2,142.0,180.0,1.0,11487207,Santiago,Metropolitana de Santiago,-33.5167,-70.7667,"-33°31' 0""","-70°46' 0""",1-5,1-5
124209100,3490,154681,sanbernardo,ChacabucoconAv.Colón,4,1,90.0,200.0,2.0,7092786,Maipo,Metropolitana de Santiago,-33.5819,-70.6869, -33°34' 55'' , -70°41' 13'' ,1-5,1-5
690446000,19400,859833,colina,ElAlgarrobo/Chicureo-Colina,6,5,470.0,4065.0,2.0,5729896,Chacabuco,Metropolitana de Santiago,-33.1939,-70.6678, -33°11' 38'' , -70°40' 4'' ,1-5,6-10
1014315000,28500,1263157,lobarnechea,ColegioMayflower/NidodeAguilas,4,7,500.0,1000.0,4.0,11154425,Santiago,Metropolitana de Santiago,-33.35,-70.5167,"-33°21' 0""","-70°31' 0""",6-10,1-5
185000000,5198,230386,quilicura,NuevaToledo(AG)/LosHimalayas,3,3,87.0,203.0,0.0,6657006,Santiago,Metropolitana de Santiago,-33.3608,-70.7289, -33°21' 39'' , -70°43' 44'' ,1-5,1-5
708241000,19900,881994,colina,PoloManquehue,5,5,404.0,5595.0,22.0,7735656,Chacabuco,Metropolitana de Santiago,-33.1939,-70.6678, -33°11' 38'' , -70°40' 4'' ,1-5,1-5
1334625000,37500,1662049,colina,Condominiolahacienda,5,5,516.0,2295.0,0.0,11089340,Chacabuco,Metropolitana de Santiago,-33.1939,-70.6678, -33°11' 38'' , -70°40' 4'' ,1-5,1-5
569440000,16000,709141,colina,Santafilomena11000,4,4,300.0,716.0,2.0,11089932,Chacabuco,Metropolitana de Santiago,-33.1939,-70.6678, -33°11' 38'' , -70°40' 4'' ,1-5,1-5
79000000,2220,98381,sanbernardo,santaines,3,1,50.0,70.0,0.0,10775724,Maipo,Metropolitana de Santiago,-33.5819,-70.6869, -33°34' 55'' , -70°41' 13'' ,1-5,1-5
615707000,17300,766758,colina,LaReserva,4,5,312.0,830.0,0.0,11121639,Chacabuco,Metropolitana de Santiago,-33.1939,-70.6678, -33°11' 38'' , -70°40' 4'' ,1-5,1-5
444875000,12500,554016,lareina,LasLuciernagas/Avda.FranciscoBilbao,5,2,146.0,232.0,2.0,11096803,Santiago,Metropolitana de Santiago,-33.4428,-70.5319, -33°26' 34'' , -70°31' 55'' ,1-5,1-5
707850363,19889,881507,lascondes,LasAñañucas1-300,4,3,1250.0,385.0,4.0,8104930,Santiago,Metropolitana de Santiago,-33.4167,-70.5833,"-33°25' 0""","-70°35' 0""",1-5,1-5
140580500,3950,175069,puentealto,CordilleradeNahuelbuta,3,3,80.0,173.0,1.0,11114867,Cordillera,Metropolitana de Santiago,-33.6158,-70.57, -33°36' 57'' ,"-70°34' 12""",1-5,1-5
508937000,14300,633795,lascondes,PadreErrazuriz,4,4,120.0,240.0,2.0,8050872,Santiago,Metropolitana de Santiago,-33.4167,-70.5833,"-33°25' 0""","-70°35' 0""",1-5,1-5
135242000,3800,168421,maipu,Av.ElRosalSantaMaríadeMaipú,4,2,94.0,131.0,2.0,11093588,Santiago,Metropolitana de Santiago,-33.5167,-70.7667,"-33°31' 0""","-70°46' 0""",1-5,1-5
98000000,2754,122042,maipu,Av.Cuatroponiente,3,2,70.0,100.0,0.0,11486319,Santiago,Metropolitana de Santiago,-33.5167,-70.7667,"-33°31' 0""","-70°46' 0""",1-5,1-5
462314100,12990,575734,lareina,AlcaldeManueldeLaLastra,4,3,190.0,400.0,2.0,11486158,Santiago,Metropolitana de Santiago,-33.4428,-70.5319, -33°26' 34'' , -70°31' 55'' ,1-5,1-5
444875000,12500,554016,colina,PiedraRoja,3,3,139.0,380.0,2.0,11121673,Chacabuco,Metropolitana de Santiago,-33.1939,-70.6678, -33°11' 38'' , -70°40' 4'' ,1-5,1-5
567660500,15950,706925,colina,PiedrarojaQuebradaelmanzano,3,3,178.0,656.0,2.0,11089797,Chacabuco,Metropolitana de Santiago,-33.1939,-70.6678, -33°11' 38'' , -70°40' 4'' ,1-5,1-5
68000000,1911,84682,loespejo,Ventagrancasainmejorableubicación,4,2,162.0,162.0,0.0,10211878,Santiago,Metropolitana de Santiago,-33.5219,-70.6869, -33°31' 19'' , -70°41' 13'' ,1-5,1-5
134990000,3793,168107,puentealto,Pasajetres.Villaempart,4,2,200.0,200.0,1.0,11250099,Cordillera,Metropolitana de Santiago,-33.6158,-70.57, -33°36' 57'' ,"-70°34' 12""",1-5,1-5
260000000,7305,323786,lampa,Caciquecolinesquinasantaines,4,3,5700.0,5700.0,12.0,10459288,Chacabuco,Metropolitana de Santiago,-33.2858,-70.8778, -33°17' 9'' , -70°52' 40'' ,1-5,1-5
125000000,3512,155666,penalolen,Pasaje441VillaRealAudienciaPeñalolén,3,1,80.0,90.0,1.0,7901423,Santiago,Metropolitana de Santiago,-33.4861,-70.5333, -33°29' 10'' ,"-70°32' 0""",1-5,1-5
726036000,20400,904154,colina,Haciendachacabuco,6,5,350.0,22314.0,0.0,11121825,Chacabuco,Metropolitana de Santiago,-33.1939,-70.6678, -33°11' 38'' , -70°40' 4'' ,1-5,6-10
996520000,28000,1240996,lobarnechea,CaminoLasHualtatas,5,4,,,3.0,11087679,Santiago,Metropolitana de Santiago,-33.35,-70.5167,"-33°21' 0""","-70°31' 0""",1-5,1-5
120000000,3372,149440,cerronavia,CerroNavia,5,2,210.0,160.0,1.0,8502294,Santiago,Metropolitana de Santiago,-33.4219,-70.735, -33°25' 19'' ,"-70°44' 6""",1-5,1-5
235605800,6620,293407,maipu,AvenidaParqueCentral/CaminoMelipilla,4,4,155.0,170.0,0.0,5087311,Santiago,Metropolitana de Santiago,-33.5167,-70.7667,"-33°31' 0""","-70°46' 0""",1-5,1-5
145000000,4074,180573,sanbernardo,ReginaGalvez/InesdeSuarez,4,2,130.0,170.0,0.0,8057302,Maipo,Metropolitana de Santiago,-33.5819,-70.6869, -33°34' 55'' , -70°41' 13'' ,1-5,1-5
280000000,7867,348692,santiago,Casacomercial,8,4,201.0,276.0,0.0,11100964,Santiago,Metropolitana de Santiago,-33.4372,-70.6572,"-33°26' 14""","-70°39' 26""",1-5,6-10
298956000,8400,372299,laflorida,MetroSanJosédelaEstrella,4,2,146.0,450.0,3.0,11096062,Santiago,Metropolitana de Santiago,-33.525,-70.5378,"-33°31' 30""", -70°32' 16'' ,1-5,1-5
327428000,9200,407756,colina,lopinto,2,1,210.0,5000.0,10.0,11092305,Chacabuco,Metropolitana de Santiago,-33.1939,-70.6678, -33°11' 38'' , -70°40' 4'' ,1-5,1-5
427080000,12000,531856,colina,avjoserabat,3,0,140.0,380.0,2.0,11119238,Chacabuco,Metropolitana de Santiago,-33.1939,-70.6678, -33°11' 38'' , -70°40' 4'' ,SIN BAÑO,1-5
526732000,14800,655955,colina,CaminoSantaLuisa,4,3,200.0,5035.0,6.0,7362075,Chacabuco,Metropolitana de Santiago,-33.1939,-70.6678, -33°11' 38'' , -70°40' 4'' ,1-5,1-5
305000000,8570,379826,maipu,Maipú,3,2,70.0,699.0,0.0,11067029,Santiago,Metropolitana de Santiago,-33.5167,-70.7667,"-33°31' 0""","-70°46' 0""",1-5,1-5
